;participant;condition;reversed;size;colour;phase;dimension1mean;dimension2mean;dimension1sd;dimension1sd.1;duration
160;R102;1;1;5;3;3;-0.8513651;-5.006.908;3.201.068;1.892.197;252
161;R102;1;1;5;5;3;-0.983320788;-5.742.419;4.241.274;3.462.106;733
162;R103;1;1;1;0;1;-1.035.549.125;0;1.163.837;0;14
163;R103;1;1;2;0;1;-0.723144296;0;1.875.371;0;118
164;R103;1;1;3;0;1;-0.732966234;0;2.296.055;0;111
165;R103;1;1;4;0;1;-0.814696176;0;1.577.939;0;240
166;R103;1;1;5;0;1;-0.721574413;0;1.841.726;0;427
167;R103;1;1;1;1;2;3.463.584.995;0;5.223.108;0;296
168;R103;1;1;1;3;2;1.090.346.296;0;3.230.072;0;429
169;R103;1;1;1;5;2;2.346.563.719;0;42.574;0;1168
170;R103;1;1;3;1;2;0.407873274;0;3.320.712;0;88
171;R103;1;1;3;3;2;1.087.341.576;0;2.454.163;0;336
172;R103;1;1;3;5;2;1.039.509.514;0;2.694.939;0;1297
173;R103;1;1;5;1;2;-0.998792806;0;519.238;0;55
174;R103;1;1;5;3;2;-0.887537433;0;6.997.743;0;288
175;R103;1;1;5;5;2;-0.869868473;0;3.159.406;0;508
176;R103;1;1;1;1;3;2.819.769.651;-3.564.693;4.237.154;5.266.613;115
177;R103;1;1;1;3;3;2.564.291.467;-3.374.929;2.492.648;4.882.326;386
178;R103;1;1;1;5;3;3.160.391.276;-1.992.281;6.725.188;158.487;1384
179;R103;1;1;3;1;3;1.791.398.017;-4.473.458;8.929.687;2.071.286;162
180;R103;1;1;3;3;3;1.164.090.945;-7.061.336;6.472.685;5.992.236;367
181;R103;1;1;3;5;3;1.173.764.728;-1.084.684;3.538.244;5.678.777;730
182;R103;1;1;5;1;3;-0.841379816;-1.389.383;2.430.328;1.735.011;54
183;R103;1;1;5;3;3;-0.735433787;-1.764.499;1.824.132;1.306.132;305
184;R103;1;1;5;5;3;-0.974212782;-1.365.288;1.626.141;1.257.999;861
185;R104;1;1;1;0;1;-1.288.649.959;0;1.505.618;0;56
186;R104;1;1;2;0;1;-1.099.553.717;0;2.823.437;0;184
187;R104;1;1;3;0;1;-1.167.383.812;0;9.927.314;0;171
188;R104;1;1;4;0;1;-0.930521887;0;1.234.848;0;654
189;R104;1;1;5;0;1;-0.895961989;0;150.417;0;674
190;R104;1;1;1;1;2;-0.737662461;0;7.968.187;0;275
191;R104;1;1;1;3;2;0.158549148;0;4.331.592;0;135
192;R104;1;1;1;5;2;1.801.852.111;0;1.833.317;0;140
193;R104;1;1;3;1;2;-1.043.656.146;0;1.219.986;0;275
194;R104;1;1;3;3;2;0.785724086;0;1.878.531;0;147
195;R104;1;1;3;5;2;1.616.579.084;0;3.236.338;0;170
196;R104;1;1;5;1;2;-1.157.655.927;0;3.037.054;0;143
197;R104;1;1;5;3;2;0.166544741;0;6.310.785;0;256
198;R104;1;1;5;5;2;1.377.998.288;0;6.858.826;0;158
199;R104;1;1;1;1;3;-1.115.752.361;5.553.163;1.664.221;4.470.342;113
200;R104;1;1;1;3;3;-0.228244036;6.422.715;9.762.402;4.548.956;107
201;R104;1;1;1;5;3;0.89566375;2.916.155;1.744.006;3.139.087;112
202;R104;1;1;3;1;3;-1.143.978.625;-3.378.345;1.604.221;19.796;228
203;R104;1;1;3;3;3;-0.193384915;1.303.429;0.1498792;0.5990445;119
204;R104;1;1;3;5;3;0.886330183;-6.109.529;5.443.641;1.518.633;109
205;R104;1;1;5;1;3;-0.998677632;-1.018.922;1.033.461;1.546.467;50
206;R104;1;1;5;3;3;-0.822470057;-1.910.509;1.425.979;2.090.637;60
207;R104;1;1;5;5;3;-0.153651448;-6.515.822;179.014;365.087;190
208;R105;1;1;1;0;1;1.380.049.987;0;6.238.879;0;189
209;R105;1;1;2;0;1;-0.194683354;0;0.458843;0;122
210;R105;1;1;3;0;1;0.411966268;0;1.241.102;0;627
211;R105;1;1;4;0;1;-1.266.507.212;0;6.915.246;0;91
