,id,reversed,condition,phase,phase_order,score,score_n,total_score,entropy_xy,nstates_xy,bic_xy,entropy_xy_n,nstates_xy_n,bic_xy_n,entropy_amp_and_freq,nstates_amp_and_freq,bic_amp_and_freq,entropy_amp_and_freq_n,nstates_amp_and_freq_n,bic_amp_and_freq_n,entropy_amp_and_mel,nstates_amp_and_mel,bic_amp_and_mel,entropy_amp_and_mel_n,nstates_amp_and_mel_n,bic_amp_and_mel_n,llh_xy,llh_amp_and_freq,llh_amp_and_mel,llh_xy_n,llh_amp_and_freq_n,llh_amp_and_mel_n
12,12301921514,0,1,0,0,0.3,-1.5021856792394381,0.695652174,0.99,15,16813.374061237653,,-0.6710640257211504,-0.5659172038964914,0.35848321994485804,16,21962.39896411909,,-0.4497693717232255,0.15761103470678173,0.99,15,21323.47915089899,,-0.6517917067451893,0.09739167667970024,4.7091315126908966e+23,4.59850741037536e+24,3.832740114362905e+24,-0.1626577880324472,-0.12940315278384237,-0.13213372302627951
13,12301921514,0,1,1,1,0.7222222220000001,0.31838148117811943,0.695652174,0.99,21,47414.80246888455,,0.3629490255845909,0.35201586791657336,0.99,21,61403.07786906702,,0.4552543640613138,2.907479702281633,0.99,21,59508.21064355626,,0.4147765406560292,2.770120375790983,5.1220491890907814e+38,1.4305568011418772e+40,9.564198499462504e+39,-0.16264849071252824,8.058918541819262,8.056191042043581
14,12301921514,0,1,2,2,0.8888888890000001,1.037026414737416,0.695652174,0.99,30,192691.01637591043,,1.913968602543203,4.709781117192478,0.99,28,48515.502651367824,,1.722287594159669,2.0089368709684723,0.99,26,42412.03083272564,,1.3035834134903779,1.573478455332265,1.7150810914314993e+44,2.770919697350349e+36,5.127131728834423e+35,2.950482481683835,-0.12781711426697479,-0.13169476706242078
15,123R0137514,1,1,0,0,0.7,0.22256215785337788,0.43391304399999997,0.99,14,15120.330917972111,,-0.8433995342721073,-0.6167024245243441,0.99,15,15496.767051691275,,-0.6307741188801333,-0.29318340153774275,0.99,14,15889.7036317609,,-0.829553081312059,-0.28294379267724384,9.806089251154391e+21,8.134454996631314e+21,1.13286832032048e+22,-0.1626577880324472,-0.129403152783845,-0.13213372302628276
16,123R0137514,1,1,1,1,0.39,-1.1141174158935543,0.43391304399999997,0.99,12,13391.960475890583,,-1.188070551374021,-0.6685473373825408,0.99,13,15774.556112147511,,-0.9927836131939491,-0.2738154937138278,0.99,15,15763.43970187008,,-0.6517917067451893,-0.29178159815314886,5.758187178847692e+31,2.601334045579832e+32,2.1462109277709188e+32,-0.16265778803140202,-0.1294030038868562,-0.13213353927986546
17,123R0137514,1,1,2,2,0.33,-1.3728295914574766,0.43391304399999997,0.99,17,22472.977786383828,,-0.32639300861923665,-0.39614939556209694,0.99,14,6404.44589855899,,-0.8117788660370412,-0.927114909531888,0.99,15,6544.638755232915,,-0.6517917067451893,-0.9370487742811109,2.0771869145330503e+33,9.232687903951506e+25,5.754956277915814e+25,-0.16265778799474304,-0.12940315278379216,-0.13213372302623352
18,123R0147514,1,1,0,0,1.0,1.5161230356729902,0.8669565220000001,0.99,12,11844.226669171403,,-1.188070551374021,-0.7149737992007626,0.99,12,11846.655772041478,,-1.173788360350857,-0.5476751324042547,0.99,11,12033.175022055837,,-1.3628372050126683,-0.5528803429993151,1.3419698302429698e+22,1.5243648952532931e+22,1.9829171450506673e+22,-0.1626577880324472,-0.129403152783845,-0.13213372302628276
19,123R0147514,1,1,1,1,0.83,0.7831052049085431,0.8669565220000001,0.99,19,19358.284163981385,,0.018278008482677154,-0.489579030495543,0.99,15,18395.15856117312,,-0.6307741188801333,-0.0911028030394947,0.99,15,19359.443880970975,,-0.6517917067451893,-0.0400803763321902,9.814284126496364e+31,3.3855293219486963e+31,6.868018246556658e+31,-0.16265778803066577,-0.12940313340551401,-0.13213366422620257
20,123R0147514,1,1,2,2,0.83,0.7831052049085431,0.8669565220000001,0.99,24,50453.590121527166,,0.8799555512374616,0.44316859606441417,0.99,19,-1831.2850216025445,,0.09324486974749807,-1.5013235448981634,0.99,23,-1815.8894671869075,,0.7702992897897687,-1.522241411398075,4.266218647680347e+36,4.103695523410532e+24,1.673828660401291e+24,-0.1626577105939101,-0.12940315278384265,-0.13213372302628135
21,123r01619514,1,1,0,0,0.6,-0.20862480141982603,0.8478260870000001,0.99,13,17160.576756613456,,-1.0157350428230643,-0.5555023685998343,0.99,15,19747.920808304094,,-0.6307741188801333,0.003213994270932397,0.99,15,20365.854507728534,,-0.6517917067451893,0.030363030235766114,1.6876275988884472e+22,1.0581349341432381e+23,1.4687624103631211e+23,-0.1626577880324472,-0.12940315278384495,-0.13213372302628265
22,123r01619514,1,1,1,1,0.944444444,1.2765747230492683,0.8478260870000001,0.99,25,45478.96505014163,,1.0522910597884185,0.29394769003134374,0.99,22,64362.852173986685,,0.6362591112182217,3.113840009714644,0.99,23,63375.05136427047,,0.7702992897897687,3.0407787191953983,3.307052998456367e+36,3.686027348753371e+38,2.8268369995271223e+38,-0.16265772800426595,0.08158027466626312,0.10988404157097602
23,123r01619514,1,1,2,2,0.8888888890000001,1.037026414737416,0.8478260870000001,0.99,22,82948.93844029843,,0.5352845341355478,1.417912470910186,0.99,22,13285.077716006523,,0.6362591112182217,-0.4473860008709392,0.99,21,15005.932672218172,,0.4147765406560292,-0.34480307293603474,4.7112199729249e+39,7.528725503973578e+28,5.1801809777860834e+29,-0.16257227202570865,-0.12940315274075156,-0.13213372258278505
24,123r01821514,1,1,0,0,0.5,-0.6398117606930299,0.6521739129999999,0.99,16,13185.72854247973,,-0.4987285171701935,-0.6747335555426862,0.99,17,17338.86872190214,,-0.26876462456631767,-0.16474905897462125,0.99,17,17869.45964030408,,-0.2962689576114498,-0.14437137133420352,3.1081713751047086e+21,2.8457809194434054e+22,3.860434639202255e+22,-0.1626577880324472,-0.12940315278384498,-0.13213372302628276
25,123r01821514,1,1,1,1,0.7222222220000001,0.31838148117811943,0.6521739129999999,0.99,16,14140.90577250266,,-0.4987285171701935,-0.6460816652713895,0.99,16,11186.489058466133,,-0.4497693717232255,-0.5937030358643282,0.99,17,11970.345116596056,,-0.2962689576114498,-0.5572781031751879,1.4752749216048798e+32,1.9454078897764574e+29,1.0386161071209306e+30,-0.16265778802976935,-0.1294031526724924,-0.13213372213707852
26,123r01821514,1,1,2,2,0.666666667,0.07883317286626657,0.6521739129999999,0.99,25,15325.539243813306,,1.0522910597884185,-0.6105469109191702,0.99,17,2992.682569605453,,-0.26876462456631767,-1.1649886312819775,0.99,18,2965.8434076618173,,-0.11850758304458003,-1.1875454691587097,1.2193939073367874e+31,1.1913415907841118e+26,9.751841960810861e+23,-0.16265778803222586,-0.12940315278377681,-0.13213372302628196
27,123R0223614,1,1,0,0,0.333333333,-1.3584566942523264,0.7463768120000001,0.99,15,13710.351729236447,,-0.6710640257211504,-0.6589967419878126,0.99,14,9141.097293376173,,-0.8117788660370412,-0.7363110964733176,0.99,13,9587.051877988242,,-1.0073144558789286,-0.7240959905407145,1.3769862790484342e+21,7.3488159773893394e+19,1.9350344425777742e+20,-0.1626577880324472,-0.129403152783845,-0.1321337230262828
28,123R0223614,1,1,1,1,0.7222222220000001,0.31838148117811943,0.7463768120000001,0.99,22,65566.46252232682,,0.5352845341355478,0.8965005517491473,0.99,23,51357.51233642572,,0.8172638583751295,2.207086436413822,0.99,24,53825.94555676261,,0.9480606643566384,2.3723919545147494,7.170022260881243e+38,2.5060265989471805e+37,4.067103401874158e+37,-0.16264477332127897,-0.1150589813737812,-0.09731348847182678
29,123R0223614,1,1,2,2,1.0,1.5161230356729902,0.7463768120000001,0.99,23,87438.45028449045,,0.7076200426865047,1.55258172043615,0.99,25,19746.523741628764,,1.1792733526889452,0.003116588496395343,0.99,26,20717.9124030153,,1.3035834134903779,0.05500521583454645,6.557118083956874e+40,1.4967573906031509e+32,5.866022778402276e+32,-0.16146756860419773,-0.12940306711139213,-0.13213322081065446
30,1320116514,0,2,0,0,0.9,1.0849360763997862,0.676956522,0.99,9,5605.11235340496,,-1.7050770770268917,-0.9021248463013363,0.99,9,6599.615505090468,,-1.7168026018215805,-0.9135073652206643,0.99,9,6675.2752181802125,,-1.7183599541464076,-0.9279049146801398,1.6939219495779756e+19,7.049666361252924e+19,7.897950172596196e+19,-0.1626577880324472,-0.129403152783845,-0.1321337230262828
31,1320116514,0,2,2,1,0.56,-0.3810995851291073,0.676956522,0.99,16,36129.23730446319,,-0.4987285171701935,0.013489399134641061,0.2975206334694957,14,11812.111520906898,,-0.8117788660370412,-0.5500836141159603,0.24279138283879748,15,12027.322573762347,,-0.6517917067451893,-0.5532899833425261,3.7613723342566104e+36,3.034595542531536e+30,3.8783206407020686e+30,-0.16265771975765983,-0.12940315104688185,-0.13213371970588444
32,1320116514,0,2,1,2,0.67,0.09320607007141704,0.676956522,0.99,17,21219.02532112371,,-0.32639300861923665,-0.43376347105591123,0.99,18,25124.76084330147,,-0.0877598774094098,0.3780960792987958,0.99,17,25429.295051870675,,-0.2962689576114498,0.38477701534326164,2.380462490789847e+32,2.4455736813891236e+33,3.22210729631895e+33,-0.1626577880281263,-0.1294017529691704,-0.13213096444060815
33,1320149514,0,2,0,0,0.4,-1.0709987199662339,0.41304347799999996,0.99,21,18989.142777204783,,0.3629490255845909,-0.5006519478307517,0.99,23,23456.599743071085,,0.8172638583751295,0.26178915788281465,0.99,21,23774.50302103044,,0.4147765406560292,0.26895034905551196,2.0080968489201245e+22,1.0271006384312282e+23,1.8359679870743158e+23,-0.1626577880324472,-0.12940315278384495,-0.13213372302628262
34,1320149514,0,2,2,1,0.444444444,-0.879360073316752,0.41304347799999996,0.99,26,61845.075186868446,,1.2246265683393753,0.7848722818939423,0.99,25,8221.984670613607,,1.1792733526889452,-0.8003931324189577,0.99,29,9412.453059938374,,1.836867537190987,-0.7363169818529758,4.0653729196549964e+39,5.866412182052671e+24,-4.148978689448073e+27,-0.16258399515926575,-0.12940315278384165,-0.13213372302983492
35,1320149514,0,2,1,2,0.38888888899999996,-1.1189083816286047,0.41304347799999996,0.99,25,19275.984273663023,,1.0522910597884185,-0.49204773196017576,0.99,24,24442.607611523516,,0.9982686055320373,0.3305352398144686,0.99,25,25804.29301961859,,1.125822038923508,0.41102488435606316,-4.836494632141313e+31,1.3956016106252483e+34,3.1318213844967185e+34,-0.16265778803332512,-0.12939516454112987,-0.13210691014634948
