participant,condition,reversed,size,colour,phase,dimension1mean,dimension2mean,dimension1sd,dimension1sd,duration,,
R103,1,1,1,5,3,75.45448,-13.89383,24.30328,17.35011,54,,
R103,1,1,3,5,3,85.63753,-17.64499,18.24132,13.06132,305,,
R103,1,1,5,5,3,62.68718,-13.65288,16.26141,12.57999,861,,
R104,1,1,1,,1,32.46491,0,1.505618,0,56,,
R104,1,1,2,,1,50.63998,0,28.23437,0,184,,
R104,1,1,3,,1,44.12046,0,9.927314,0,171,,
R104,1,1,4,,1,66.88655,0,12.34848,0,654,,
R104,1,1,5,,1,70.20829,0,15.0417,0,674,,
R104,1,1,1,1,2,85.42332,0,7.968187,0,275,,
R104,1,1,3,1,2,171.5631,0,4.331592,0,135,,
R104,1,1,5,1,2,329.5099,0,18.33317,0,140,,
R104,1,1,1,3,2,56.0126,0,12.19986,0,275,,
R104,1,1,3,3,2,231.8443,0,18.78531,0,147,,
R104,1,1,5,3,2,311.7023,0,32.36338,0,170,,
R104,1,1,1,5,2,45.05546,0,3.037054,0,143,,
R104,1,1,3,5,2,172.3316,0,6.310785,0,256,,
R104,1,1,5,5,2,288.771,0,6.858826,0,158,,
R104,1,1,1,1,3,49.08304,55.53163,16.64221,44.70342,113,,
R104,1,1,3,1,3,134.3863,64.22715,9.762402,45.48956,107,,
R104,1,1,5,1,3,242.4112,29.16155,17.44006,31.39087,112,,
R104,1,1,1,3,3,46.37006,-3.378345,1.604221,1.9796,228,,
R104,1,1,3,3,3,137.7368,13.03429,0.1498792,0.5990445,119,,
R104,1,1,5,3,3,241.5141,-6.109529,5.443641,1.518633,109,,
R104,1,1,1,5,3,60.33573,-10.18922,10.33461,15.46467,50,,
R104,1,1,3,5,3,77.272,-19.10509,14.25979,20.90637,60,,
R104,1,1,5,5,3,141.5558,-65.15822,17.9014,36.5087,190,,
R105,1,1,1,,1,288.9682,0,62.38879,0,189,,
R105,1,1,2,,1,137.612,0,0.458843,0,122,,
R105,1,1,3,,1,195.9204,0,124.1102,0,627,,
R105,1,1,4,,1,34.59317,0,6.915246,0,91,,
R105,1,1,5,,1,196.1136,0,108.9866,0,205,,
R105,1,1,1,1,2,246.3522,0,142.349,0,961,,
R105,1,1,3,1,2,258.3962,0,172.5689,0,1139,,
R105,1,1,5,1,2,258.0634,0,144.4895,0,915,,
R105,1,1,1,3,2,263.7657,0,158.6652,0,1402,,
R105,1,1,3,3,2,259.7112,0,159.9602,0,849,,
R105,1,1,5,3,2,282.5578,0,165.5765,0,760,,
R105,1,1,1,5,2,268.6095,0,163.1438,0,552,,
R105,1,1,3,5,2,224.158,0,135.2975,0,419,,
R105,1,1,5,5,2,279.7139,0,173.1935,0,172,,
R105,1,1,1,1,3,59.86471,-3.233134,10.75696,65.92879,136,,
R105,1,1,3,1,3,75.41297,-8.975118,11.28442,56.37267,125,,
R105,1,1,5,1,3,62.84157,63.56095,0.7378533,22.42698,60,,
R105,1,1,1,3,3,227.0048,-16.55084,130.5972,17.9957,1069,,
R105,1,1,3,3,3,181.1799,-25.73954,125.3022,28.86741,592,,
R105,1,1,5,3,3,233.6586,-34.33077,126.7357,32.76515,760,,
R105,1,1,1,5,3,168.8439,-13.54326,119.3804,20.5917,451,,
R105,1,1,3,5,3,268.9921,-75.24859,134.9277,49.12112,479,,
R105,1,1,5,5,3,269.7354,-60.59007,137.0235,43.28745,186,,
N101,1,0,1,,1,-34.62588,0,48.67312,0,26,,
N101,1,0,2,,1,28.47554,0,38.5164,0,366,,
N101,1,0,3,,1,-25.41187,0,39.56813,0,63,,
N101,1,0,4,,1,1.410166,0,5.081503,0,223,,
N101,1,0,5,,1,1.649316,0,0.9979527,0,510,plot?,
N101,1,0,1,1,2,50.49694,0,50.4669,0,56,,
N101,1,0,3,1,2,44.54244,0,56.87463,0,96,,
N101,1,0,5,1,2,56.2737,0,19.18204,0,673,,
N101,1,0,1,3,2,-3.499507,0,6.290712,0,129,,
N101,1,0,3,3,2,13.52371,0,12.5947,0,117,,
N101,1,0,5,3,2,7.098754,0,11.75033,0,1158,,
N101,1,0,1,5,2,-51.63789,0,0.2750707,0,8,,
N101,1,0,3,5,2,-28.46122,0,22.42888,0,469,,
N101,1,0,5,5,2,-60.59328,0,5.006734,0,804,,
N101,1,0,1,1,3,86.61647,107.3204,54.78254,25.39499,18,,
N101,1,0,3,1,3,48.82216,63.5774,2.850177,5.603435,293,,
N101,1,0,5,1,3,85.61789,81.19854,23.95113,4.763276,784,,
N101,1,0,1,3,3,-36.37801,69.90404,32.38847,22.68567,65,,
N101,1,0,3,3,3,-30.17245,50.3915,15.91062,5.514294,543,,
N101,1,0,5,3,3,-41.80068,94.10143,41.50634,12.91621,741,,
N101,1,0,1,5,3,-49.424,49.30417,12.14124,1.936026,45,,
N101,1,0,3,5,3,-75.56818,73.49825,3.629665,4.770398,372,,
N101,1,0,5,5,3,-63.99128,69.87448,4.250482,11.88592,419,,
N102,1,0,1,,1,59.18667,0,47.53011,0,67,,
N102,1,0,2,,1,1.413513,0,2.239546,0,38,,
N102,1,0,3,,1,19.84585,0,2.215145,0,56,,
N102,1,0,4,,1,-33.77762,0,1.308948,0,62,,
N102,1,0,5,,1,-58.24934,0,74.10031,0,119,,
N102,1,0,1,1,2,79.44384,0,16.51252,0,41,,
N102,1,0,3,1,2,56.71047,0,4.713326,0,104,,
N102,1,0,5,1,2,66.37645,0,16.55584,0,385,,
N102,1,0,1,3,2,-1.23712,0,4.953126,0,38,,
N102,1,0,3,3,2,-2.184404,0,2.288902,0,98,,
N102,1,0,5,3,2,7.926523,0,12.86178,0,334,,
N102,1,0,1,5,2,-151.7882,0,6.515237,0,61,,
N102,1,0,3,5,2,-58.06261,0,1.542927,0,156,,
N102,1,0,5,5,2,-94.9726,0,33.04775,0,717,,
N102,1,0,1,1,3,51.36698,51.14369,1.584237,0.777425,14,,
N102,1,0,3,1,3,61.36818,92.47773,6.946158,20.885,101,,
N102,1,0,5,1,3,138.6423,98.93044,8.765218,4.347716,723,,
N102,1,0,1,3,3,1.77719,67.04138,2.317585,4.324507,37,,
N102,1,0,3,3,3,7.363218,84.36647,6.163377,7.416135,117,,
N102,1,0,5,3,3,-0.997393,68.85068,51.86039,4.894537,686,,
N102,1,0,1,5,3,-123.1479,111.8551,18.5269,6.530444,74,,
N102,1,0,3,5,3,-60.61919,82.1181,14.71417,4.412353,151,,
N102,1,0,5,5,3,-67.56478,72.34084,14.78454,7.258258,1109,,
N103,1,0,1,,1,81.33368,0,35.0935,0,596,,
N103,1,0,2,,1,32.83975,0,18.22042,0,505,,
N103,1,0,3,,1,-15.98765,0,4.324481,0,445,,
N103,1,0,4,,1,-18.48558,0,20.43024,0,483,,
N103,1,0,5,,1,-61.72299,0,33.46731,0,640,,
N103,1,0,1,1,2,96.27316,0,43.53405,0,557,,
N103,1,0,3,1,2,-9.419993,0,15.80392,0,626,,
N103,1,0,5,1,2,-108.8479,0,39.28407,0,540,,
N103,1,0,1,3,2,70.54017,0,41.61767,0,725,,
N103,1,0,3,3,2,-20.06894,0,25.00685,0,586,,
N103,1,0,5,3,2,-98.8351,0,42.67974,0,663,,
N103,1,0,1,5,2,95.65075,0,55.48147,0,433,,
N103,1,0,3,5,2,-10.09661,0,0.2941463,0,278,,
N103,1,0,5,5,2,-97.61657,0,53.90164,0,439,,
N103,1,0,1,1,3,96.80749,116.9167,43.42029,11.2266,577,,
N103,1,0,3,1,3,-11.38122,94.36723,16.56997,3.874373,315,,
N103,1,0,5,1,3,-93.45971,106.624,35.67743,7.907495,456,,
N103,1,0,1,3,3,124.2289,122.383,47.41703,12.94492,785,,
N103,1,0,3,3,3,-2.196938,116.1167,31.51992,11.06894,384,,
N103,1,0,5,3,3,-73.67781,104.3575,44.30752,13.54818,462,,
N103,1,0,1,5,3,104.373,122.1331,69.36105,17.55401,299,,
N103,1,0,3,5,3,-7.22028,96.60748,1.317044,1.049392,223,,
N103,1,0,5,5,3,-107.1383,105.923,48.57114,14.8454,386,,
N104,1,0,1,,1,126.3327,0,25.49658,0,63,,
N104,1,0,2,,1,149.6763,0,156.0971,0,61,,
N104,1,0,3,,1,95.92043,0,182.3071,0,107,,
N104,1,0,4,,1,-2.627417,0,142.2644,0,170,,
N104,1,0,5,,1,105.6542,0,112.6753,0,144,,
N104,1,0,1,1,2,325.2769,0,21.26749,0,22,,
N104,1,0,3,1,2,319.195,0,21.79978,0,289,,
N104,1,0,5,1,2,377.2081,0,11.31671,0,41,,
N104,1,0,1,3,2,-133.0439,0,15.3135,0,61,,
N104,1,0,3,3,2,73.04958,0,5.382298,0,421,,
N104,1,0,5,3,2,107.8426,0,8.914303,0,99,,
N104,1,0,1,5,2,-146.9403,0,11.69004,0,369,,
N104,1,0,3,5,2,47.36483,0,70.27378,0,389,,
N104,1,0,5,5,2,-164.5114,0,8.420936,0,80,,
N104,1,0,1,1,3,332.9922,399.1705,37.11885,85.18864,251,,
N104,1,0,3,1,3,371.6942,406.5532,6.08015,10.72888,557,,
N104,1,0,5,1,3,408.4113,304.5102,9.338859,22.34194,29,,
N104,1,0,1,3,3,106.5486,356.9353,4.610698,120.1361,223,,
N104,1,0,3,3,3,110.8657,345.6527,3.391602,64.37394,271,,
N104,1,0,5,3,3,125.6315,182.0268,8.606977,122.5894,359,,
N104,1,0,1,5,3,-169.9798,293.7324,25.48149,108.0436,413,,
N104,1,0,3,5,3,-121.2673,292.394,7.132834,40.83505,631,,
N104,1,0,5,5,3,-151.8993,287.4405,7.301611,128.6159,373,,
N105,1,0,1,,1,122.2381,0,74.90656,0,316,,
N105,1,0,2,,1,108.6587,0,95.45899,0,311,,
N105,1,0,3,,1,105.5019,0,32.77056,0,207,,
N105,1,0,4,,1,116.4023,0,117.6017,0,387,,
N105,1,0,5,,1,125.0375,0,13.67348,0,275,,
N105,1,0,1,1,2,101.8001,0,104.0857,0,668,,
N105,1,0,3,1,2,97.19395,0,62.07997,0,861,,
N105,1,0,5,1,2,114.591,0,135.5343,0,485,,
N105,1,0,1,3,2,75.00956,0,52.40936,0,469,,
N105,1,0,3,3,2,93.23738,0,51.79277,0,503,,
N105,1,0,5,3,2,69.40424,0,91.17401,0,737,,
N105,1,0,1,5,2,111.5462,0,42.93495,0,232,,
N105,1,0,3,5,2,117.6127,0,113.6123,0,413,,
N105,1,0,5,5,2,101.4124,0,92.5319,0,582,,
N105,1,0,1,1,3,110.3931,298.2231,79.88972,14.83384,383,,
N105,1,0,3,1,3,116.4001,311.2851,90.20569,16.9724,861,,
N105,1,0,5,1,3,133.3366,302.1262,92.64601,9.356595,485,,
N105,1,0,1,3,3,139.119,337.0875,90.74587,25.39796,185,,
N105,1,0,3,3,3,172.7532,317.5007,91.27464,14.71456,740,,
N105,1,0,5,3,3,158.5825,311.4125,88.7773,25.29915,1461,,
N105,1,0,1,5,3,119.7963,356.8669,50.63802,15.64318,113,,
N105,1,0,3,5,3,136.644,355.9786,48.14497,23.19547,305,,
N105,1,0,5,5,3,123.8701,359.2462,54.58309,26.15865,1516,,
N201,2,0,1,,1,-47.34747,0,1.649853,0,13,,
N201,2,0,2,,1,83.37353,0,20.99842,0,64,,
N201,2,0,3,,1,30.66558,0,38.30263,0,57,,
N201,2,0,4,,1,1.719624,0,28.7888,0,108,,
N201,2,0,5,,1,-7.050865,0,31.25366,0,178,,
N201,2,0,1,1,2,52.98621,0,64.34958,0,64,,
N201,2,0,3,1,2,15.76881,0,44.84887,0,276,,
N201,2,0,5,1,2,0.6946408,0,61.42461,0,618,,
N201,2,0,1,3,2,38.59273,0,45.22613,0,65,,
N201,2,0,3,3,2,11.44238,0,43.69101,0,270,,
N201,2,0,5,3,2,12.05939,0,48.1626,0,780,,
N201,2,0,1,5,2,11.15093,0,54.65051,0,61,,
N201,2,0,3,5,2,-9.452104,0,32.92704,0,218,,
N201,2,0,5,5,2,3.581759,0,34.84106,0,388,,
N201,2,0,1,1,3,9.810276,192.7359,65.52316,65.61076,64,,
N201,2,0,3,1,3,25.93903,111.7677,28.66712,17.88289,191,,
N201,2,0,5,1,3,2.719809,179.0799,57.24186,24.26903,366,,
N201,2,0,1,3,3,23.19001,101.9044,58.98984,24.6554,81,,
N201,2,0,3,3,3,30.64903,98.91625,44.81202,14.6336,207,,
N201,2,0,5,3,3,2.111983,70.3881,89.82757,7.106734,439,,
N201,2,0,1,5,3,21.87045,55.94186,24.74116,10.03378,62,,
N201,2,0,3,5,3,4.428628,46.10628,33.07743,8.373843,108,,
N201,2,0,5,5,3,2.834473,103.7702,22.66851,35.59712,104,,
N202,2,0,1,,1,13.89183,0,55.76862,0,406,,
N202,2,0,2,,1,-92.31799,0,57.32453,0,77,,
N202,2,0,3,,1,3.474334,0,32.98743,0,394,,
N202,2,0,4,,1,-50.12773,0,26.42056,0,710,,
N202,2,0,5,,1,-28.7759,0,8.016391,0,439,,
N202,2,0,1,1,2,96.60139,0,31.60742,0,436,,
N202,2,0,3,1,2,-129.9284,0,43.87361,0,577,,
N202,2,0,5,1,2,-33.45945,0,14.79487,0,419,,
N202,2,0,1,3,2,34.08701,0,7.163677,0,301,,
N202,2,0,3,3,2,-33.49598,0,10.28539,0,486,,
N202,2,0,5,3,2,-130.9912,0,18.31622,0,641,,
N202,2,0,1,5,2,44.33045,0,23.84228,0,33,,
N202,2,0,3,5,2,-13.69662,0,25.93733,0,917,,
N202,2,0,5,5,2,-95.17664,0,28.3971,0,771,,
N202,2,0,1,1,3,-16.35849,290.1334,44.93644,47.19597,349,,
N202,2,0,3,1,3,10.63868,134.3489,22.92117,18.46961,427,,
N202,2,0,5,1,3,-83.05325,269.6499,4.375437,52.63599,513,,
N202,2,0,1,3,3,9.237628,301.5521,25.88295,70.75493,249,,
N202,2,0,3,3,3,-27.83044,116.1611,27.12676,40.72655,764,,
N202,2,0,5,3,3,8.358438,316.105,1.003999,71.36067,448,,
N202,2,0,1,5,3,55.53985,64.57302,7.062074,19.32639,178,,
N202,2,0,3,5,3,0.3346736,83.73681,14.55545,36.72125,676,,
N202,2,0,5,5,3,-27.02182,81.18801,32.48902,8.447489,118,,
N203,2,0,1,,1,-123.463,0,29.13541,0,150,,
N203,2,0,2,,1,7.430366,0,6.143049,0,122,,
N203,2,0,3,,1,24.57876,0,34.15008,0,287,,
N203,2,0,4,,1,67.53672,0,23.46912,0,146,,
N203,2,0,5,,1,135.637,0,37.06548,0,107,,
N203,2,0,1,1,2,196.2177,0,26.73295,0,226,,
N203,2,0,3,1,2,110.7478,0,49.45695,0,411,,
N203,2,0,5,1,2,80.04859,0,16.17855,0,31,,
N203,2,0,1,3,2,-5.893694,0,18.13687,0,339,,
N203,2,0,3,3,2,-10.14013,0,30.38687,0,469,,
N203,2,0,5,3,2,8.351832,0,26.39546,0,594,,
N203,2,0,1,5,2,-210.4689,0,39.19071,0,408,,
N203,2,0,3,5,2,-120.5322,0,27.2411,0,281,,
N203,2,0,5,5,2,-90.58127,0,0.150641,0,263,,
N203,2,0,1,1,3,147.7541,325.5514,63.94184,62.56865,245,,
N203,2,0,3,1,3,85.19354,139.7485,18.92208,55.76244,560,,
N203,2,0,5,1,3,56.66353,80.18499,3.106105,11.56127,411,,
N203,2,0,1,3,3,-3.207878,293.4408,9.237951,4.106647,229,,
N203,2,0,3,3,3,-3.157594,112.7911,16.05544,43.85262,498,,
N203,2,0,5,3,3,-19.45682,59.24245,69.09495,18.42589,580,,
N203,2,0,1,5,3,-299.4084,258.4989,129.3745,47.11909,345,,
